0,1,2,3,4,5,6,7,8,9,10,11
4,3,3,16,31,34,27,31,27,27,22,10
4,3,3,15,29,32,26,29,26,25,21,9
4,3,3,15,30,33,26,30,26,26,22,9
4,3,3,15,29,32,25,29,25,25,21,9
3,2,2,13,25,28,22,25,22,22,18,8
3,2,2,11,22,24,19,21,19,19,16,7
3,2,2,12,24,26,21,24,21,20,17,7
4,3,3,14,28,31,24,28,24,24,20,9
3,2,2,11,23,25,20,22,20,19,16,7
4,3,3,15,30,33,26,29,26,26,22,9
4,3,3,15,29,32,25,28,25,25,21,9
3,2,2,13,26,29,23,26,23,23,19,8
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,11,22,25,19,22,20,19,16,7
4,3,3,15,31,34,27,30,27,26,22,10
4,3,3,15,29,32,25,29,26,25,21,9
4,3,3,14,28,30,24,27,24,24,20,9
4,3,3,13,27,29,23,26,23,23,19,8
3,2,2,13,25,27,22,25,22,21,18,8
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,12,23,25,20,23,20,20,17,7
4,3,3,16,31,34,27,30,27,26,22,10
4,3,3,14,28,31,24,28,25,24,20,9
4,3,3,14,28,30,24,27,24,24,20,9
4,3,3,14,27,30,23,27,24,23,20,8
3,2,2,13,25,28,22,25,22,21,18,8
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,11,23,25,20,22,20,19,16,7
4,3,3,16,31,35,27,31,28,27,23,10
4,3,3,15,30,33,26,29,26,26,22,9
3,2,2,13,26,29,23,26,23,23,19,8
3,2,2,13,25,28,22,25,22,22,18,8
3,2,2,13,25,27,22,25,22,21,18,8
3,2,2,10,21,23,18,21,18,18,15,6
3,2,2,11,22,24,19,21,19,18,16,7
4,3,3,14,28,31,25,28,25,24,21,9
4,3,3,14,28,31,25,28,25,24,21,9
4,3,3,14,27,30,24,27,24,23,20,8
4,2,2,13,26,29,23,26,23,23,19,8
3,2,2,12,24,27,21,24,21,21,18,7
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,11,22,24,19,22,19,19,16,7
4,3,3,14,27,30,23,27,23,23,20,8
3,2,2,13,26,29,23,26,23,22,19,8
3,2,2,13,25,28,22,25,22,22,18,8
3,2,2,12,24,27,21,24,21,21,18,8
3,2,2,11,22,24,19,22,19,19,16,7
2,2,2,10,20,21,17,19,17,17,14,6
3,2,2,10,21,23,18,20,18,18,15,6
4,3,3,13,27,29,23,26,23,23,19,8
3,2,2,12,24,26,21,23,21,20,17,7
3,2,2,12,24,26,21,24,21,21,18,7
3,2,2,13,25,28,22,25,22,21,18,8
3,2,2,12,24,26,21,24,21,21,17,7
3,2,2,10,20,22,18,20,18,18,15,6
3,2,2,11,21,23,18,21,19,18,15,7
4,3,3,14,27,30,24,27,24,23,20,8
3,2,2,13,26,28,22,25,22,22,19,8
3,2,2,12,23,25,20,23,20,20,17,7
3,2,2,11,23,25,20,22,20,19,16,7
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,10,20,22,17,20,18,17,15,6
3,2,2,10,20,22,17,20,17,17,14,6
3,2,2,13,25,28,22,25,22,22,18,8
3,2,2,10,20,22,18,20,18,17,15,6
3,2,2,12,23,25,20,23,20,20,17,7
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,11,22,24,19,22,19,19,16,7
2,2,2,9,19,21,16,19,16,16,14,6
2,2,2,9,18,20,16,18,16,15,13,5
3,2,2,12,23,25,20,23,20,20,17,7
3,2,2,11,22,24,19,21,19,19,16,7
3,2,2,11,21,23,18,21,18,18,15,6
3,2,2,11,21,23,19,21,19,18,15,7
3,2,2,10,21,23,18,21,18,18,15,6
2,2,2,9,18,20,16,18,16,16,13,6
2,2,2,9,18,20,16,18,16,15,13,5
3,2,2,13,25,27,22,25,22,21,18,8
3,2,2,12,24,27,21,24,21,21,18,8
3,2,2,12,24,26,21,23,21,20,17,7
3,2,2,12,24,26,21,24,21,20,17,7
3,2,2,11,22,24,19,22,19,19,16,7
2,2,2,9,19,21,16,19,16,16,14,6
2,2,2,10,19,21,17,19,17,17,14,6
4,3,3,14,27,30,23,27,24,23,20,8
3,2,2,13,25,28,22,25,22,22,18,8
3,2,2,13,25,27,22,25,22,21,18,8
3,2,2,13,25,27,22,25,22,21,18,8
3,2,2,12,23,26,20,23,20,20,17,7
2,2,2,10,19,21,17,19,17,17,14,6
3,2,2,10,20,22,17,20,17,17,14,6
4,3,3,15,29,32,26,29,26,25,21,9
4,3,3,15,29,32,25,28,25,25,21,9
4,2,2,13,26,29,23,26,23,23,19,8
3,2,2,11,21,23,18,21,18,18,15,6
3,2,2,13,25,28,22,25,22,21,18,8
3,2,2,11,22,24,19,21,19,18,16,7
3,2,2,11,22,24,19,22,19,19,16,7
4,3,3,15,29,32,26,29,26,25,21,9
4,3,3,14,28,30,24,27,24,24,20,9
4,3,3,14,27,30,23,27,23,23,20,8
4,2,2,13,26,29,23,26,23,23,19,8
3,2,2,13,26,28,22,25,22,22,19,8
3,2,2,11,21,23,18,21,19,18,15,7
3,2,2,11,21,23,18,21,19,18,15,7
4,3,3,15,31,34,27,30,27,26,22,10
4,3,3,15,29,32,25,28,25,25,21,9
4,3,3,14,28,31,24,28,25,24,20,9
4,3,3,14,27,30,24,27,24,24,20,8
3,2,2,13,25,28,22,25,22,22,18,8
3,2,2,10,21,23,18,20,18,18,15,6
3,2,2,11,22,24,19,22,19,19,16,7
4,3,3,15,30,33,26,30,27,26,22,9
4,3,3,14,29,31,25,28,25,25,21,9
4,3,3,14,28,31,24,28,24,24,20,9
4,3,3,14,27,30,24,27,24,23,20,8
3,2,2,13,25,28,22,25,22,22,18,8
3,2,2,11,21,23,18,21,18,18,15,6
3,2,2,10,20,22,18,20,18,18,15,6
4,3,3,15,29,32,25,29,25,25,21,9
4,3,3,15,29,32,25,29,25,25,21,9
4,3,3,14,27,29,23,26,23,23,19,8
3,2,2,13,26,28,22,25,22,22,19,8
3,2,2,12,24,27,21,24,21,21,18,8
3,2,2,11,22,24,19,21,19,18,16,7
3,2,2,11,21,23,19,21,19,18,15,7
4,2,2,13,26,29,23,26,23,23,19,8
3,2,2,12,23,26,20,23,20,20,17,7
3,2,2,10,20,22,17,20,17,17,14,6
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,12,24,26,21,24,21,21,17,7
3,2,2,12,23,25,20,23,20,20,17,7
3,2,2,12,23,26,20,23,20,20,17,7
4,3,3,16,31,34,27,31,27,27,23,10
4,3,3,15,30,33,26,30,26,26,22,9
4,3,3,14,28,31,24,28,25,24,20,9
4,3,3,14,27,30,24,27,24,23,20,8
3,2,2,13,26,28,22,25,22,22,19,8
3,2,2,11,21,23,19,21,19,18,15,7
3,2,2,11,21,23,18,21,18,18,15,6
4,3,3,15,29,32,25,29,25,25,21,9
3,2,2,13,26,29,23,26,23,22,19,8
3,2,2,13,26,29,23,26,23,22,19,8
3,2,2,13,26,28,22,25,22,22,19,8
3,2,2,13,25,27,22,25,22,21,18,8
3,2,2,10,21,23,18,20,18,18,15,6
3,2,2,11,21,23,18,21,19,18,15,7
4,3,3,15,30,33,26,30,26,26,22,9
4,3,3,15,30,33,26,30,26,26,22,9
4,3,3,14,29,31,25,28,25,25,21,9
4,3,3,14,28,31,25,28,25,24,21,9
3,2,2,13,26,28,22,25,22,22,19,8
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,11,23,25,20,22,20,19,16,7
4,3,3,16,31,34,27,30,27,26,22,10
4,3,3,15,29,32,25,29,25,25,21,9
4,3,3,14,27,30,23,27,24,23,20,8
4,3,3,14,27,30,24,27,24,23,20,8
3,2,2,13,25,27,22,25,22,21,18,8
3,2,2,10,20,22,17,20,17,17,14,6
2,2,2,9,19,21,16,19,16,16,14,6
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,11,22,24,19,21,19,18,16,7
3,2,2,11,21,23,18,21,18,18,15,6
3,2,2,11,22,24,19,21,19,19,16,7
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,10,20,22,17,19,17,17,14,6
2,2,2,10,20,21,17,19,17,17,14,6
3,2,2,12,24,26,21,24,21,21,18,7
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,10,21,23,18,20,18,18,15,6
2,2,2,9,18,20,16,18,16,16,13,5
2,2,2,9,19,21,16,19,16,16,14,6
3,2,2,10,20,22,17,20,17,17,14,6
3,2,2,10,20,22,17,19,17,17,14,6
3,2,2,13,26,29,23,26,23,22,19,8
3,2,2,12,24,27,21,24,21,21,18,8
3,2,2,12,24,26,21,23,21,20,17,7
3,2,2,11,23,25,20,23,20,20,17,7
3,2,2,11,22,24,19,22,19,19,16,7
2,2,2,9,19,21,16,19,16,16,14,6
3,2,2,10,20,22,17,19,17,17,14,6
3,2,2,13,26,28,22,25,22,22,19,8
2,2,2,10,19,21,17,19,17,17,14,6
3,2,2,11,23,25,20,23,20,20,17,7
3,2,2,11,23,25,20,23,20,20,17,7
3,2,2,11,22,24,19,22,19,19,16,7
2,2,2,9,19,21,16,19,16,16,14,6
2,2,2,10,19,21,17,19,17,16,14,6
4,3,3,13,27,29,23,26,23,23,19,8
3,2,2,12,25,27,21,24,22,21,18,8
3,2,2,12,23,26,20,23,21,20,17,7
3,2,2,11,23,25,20,22,20,19,16,7
3,2,2,11,23,25,20,22,20,19,16,7
2,2,2,10,19,21,17,19,17,16,14,6
2,2,2,10,19,21,17,19,17,17,14,6
3,2,2,13,25,28,22,25,22,22,18,8
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,10,21,23,18,20,18,18,15,6
2,2,2,9,18,20,16,18,16,16,13,6
2,2,2,9,19,21,16,19,16,16,14,6
3,2,2,13,26,28,22,25,22,22,19,8
3,2,2,12,23,26,20,23,21,20,17,7
3,2,2,12,23,25,20,23,20,20,17,7
3,2,2,12,23,25,20,23,20,20,17,7
3,2,2,11,22,24,19,21,19,19,16,7
2,2,2,10,19,21,17,19,17,17,14,6
2,2,2,10,19,21,17,19,17,17,14,6
3,2,2,12,25,27,21,24,22,21,18,8
3,2,2,12,23,25,20,23,20,20,17,7
3,2,2,11,22,25,19,22,20,19,16,7
3,2,2,11,22,24,19,22,19,19,16,7
3,2,2,11,21,23,18,21,18,18,15,6
2,2,2,10,20,21,17,19,17,17,14,6
3,2,2,10,20,22,17,20,17,17,14,6
3,2,2,12,24,26,21,24,21,21,18,7
3,2,2,12,23,25,20,23,20,20,17,7
3,2,2,11,23,25,20,22,20,19,16,7
3,2,2,11,22,24,19,21,19,19,16,7
3,2,2,10,21,23,18,20,18,18,15,6
2,2,2,10,19,21,17,19,17,17,14,6
2,2,2,10,20,21,17,19,17,17,14,6
3,2,2,12,23,26,20,23,20,20,17,7
2,2,2,9,18,20,16,18,16,15,13,5
2,2,2,10,19,21,17,19,17,16,14,6
3,2,2,13,25,27,22,25,22,21,18,8
3,2,2,12,23,26,20,23,20,20,17,7
3,2,2,11,22,24,19,21,19,19,16,7
3,2,2,11,22,25,19,22,20,19,16,7
3,2,2,13,25,27,22,25,22,21,18,8
2,2,2,10,20,21,17,19,17,17,14,6
